State;Up;Down;Left;Right;Stay
15,9|7,13;0;0;-0.01732979;0;0.012
15,9|8,13;-0.288;0.6;0.012;0.8802601;0.012
15,8|9,13;0;0.6;0;0;-0.15
15,8|10,13;-0.45;0;0.05574;0;0
15,9|11,13;-0.45;0;-0.255;0;-0.15
15,9|12,13;-0.45;0;-0.255;0;0.03299999
15,9|13,13;-0.45;2.170794;0;0.6;0.2041061
15,10|14,13;-0.2363482;0;-0.255;1.870264;0
15,10|15,13;-0.6866087;1.03854;0.4251103;0.07710005;0.09222686
16,10|16,13;-0.1944941;1.338187;0;0;-0.08814001
16,10|16,12;-0.765;0.6;-0.03000001;0.1517229;0
16,11|16,11;0;0;0;0;0
17,19|2,3;0;0;-0.45;0;0
16,19|2,4;0;0;0;0;-0.15
16,19|2,5;0;0;-0.45;0;0
15,19|2,6;0;0;0;1.038;0
16,19|2,7;0;0;0;1.038;0
17,19|2,8;0;0;0;1.314;-0.15
18,19|2,9;-0.15;0;-0.9855;0;0
17,19|2,10;-0.15;-0.45;0;0;0.012
17,18|2,11;1.02;0;0;0;0
17,19|1,11;-0.15;-0.765;-0.765;0;0
17,18|0,11;0.60036;-0.45;0;0;-0.093
17,18|0,12;1.182;-0.597312;0;0.6;-0.255
17,19|0,13;-0.255;-0.7101;-0.765;1.02;-0.15
18,19|0,14;-0.15;0;0;0;-0.15
18,19|1,14;0;-0.45;-0.603;0;-0.15
17,19|1,15;0;-0.279738;0;0.6;0
18,19|2,15;0;-0.45;-0.45;0.6;-0.255
17,19|3,15;-0.132;0;-0.765;1.02;0.1951002
17,19|3,16;-0.15;-0.213642;0;1.93926;0
18,19|4,16;-0.255;-0.674622;-0.45;0.6;-0.15
17,19|6,16;-0.15;0;0;1.332;0
18,19|7,16;0;0;0;0.6;-0.15
19,19|8,16;-0.15;-0.45;0;0;0
19,19|8,17;-0.15;-0.45;-0.765;0;-0.3285
19,19|9,17;0;-0.7344;-0.603;-0.15;-0.15
18,19|10,17;-0.15;-0.342054;0;0.6;0.012
18,19|11,17;0;-0.4454478;0;0.6;-0.255
19,19|12,17;-0.15;0;-0.45;-0.255;0
18,19|13,17;-0.15;-0.288;-0.603;1.02;-0.132
18,19|13,18;-0.12276;-0.2109269;0;1.933314;0.156018
18,19|13,19;-0.08814001;2.082589;0;1.086258;0
18,18|14,19;-0.45;1.02;-0.2751825;0;-0.255
18,18|15,19;-0.45;0;-0.03727533;0.6499159;0
18,19|16,19;0.6284939;1.4886;-0.9855;0.6085501;0.5578023
18,19|17,19;-0.255;1.116828;-1.376469;2.470321;-0.471176
0,9|5,16;0;0;-0.255;-0.288;0
0,9|4,16;-0.432;0;-0.15;0;0
0,9|3,16;-0.45;0;0;0;0
0,10|3,15;-0.765;1.02;0.2624516;0;0
0,11|2,15;-0.45;0;-0.15;0;-0.15
0,11|1,15;-0.45;0;0;-0.28314;0
0,12|0,15;-0.45;0;-0.15;-0.15;-0.05316075
0,12|0,14;-0.9855;0;0.3586639;0.9988244;0
0,13|0,13;0;0;0;0;0
17,9|7,11;-0.45;0;0;0;0
17,10|8,11;0;0.6;0;0.6;-0.15
17,10|9,11;0;0;0;1.038;0
18,10|10,11;0;0.6;0;1.02;0
19,10|11,11;-0.45;0;-0.45;0;0
19,11|12,11;0.6;1.182;0;-0.15;-0.15
19,12|13,11;0.6;0;0;-0.15;0
19,12|13,12;-0.3525678;1.02;-0.7344;0;0
18,12|13,13;0;1.10909;-0.6216041;1.83846;0.1231951
18,13|15,13;0;0;0;2.102223;0.008364663
19,13|16,13;2.156376;1.855486;-0.1055464;-0.06470671;0
19,14|17,13;1.824133;0;-0.3977904;-0.2237574;0.1144718
19,14|18,13;2.510343;0;-0.45;-0.1258278;0.1738793
18,14|18,14;0;0;0;0;0
8,4|5,9;0;0;0;0;-0.15
8,4|5,8;0;0;0;-0.15;-0.15
8,4|5,7;-0.09522001;1.182;0;-0.15;-0.15
8,4|5,6;-0.7101;0.6;-0.432;0.012;-0.237
8,5|6,6;-0.5904;0.6;-0.408463;0.6;-0.083742
8,4|6,5;-0.543694;1.182;-0.3574372;-0.237;-0.1247449
8,5|7,5;1.044875;0.840766;-1.247895;2.443348;-0.3285
8,6|8,5;-0.3285;-0.9855;1.407106;0.6485;-0.4858762
8,5|8,5;0;0;0;-0.45;0
5,4|3,0;0;0;-0.45;0;0
4,4|3,1;0;0;0;0;-0.15
4,4|4,1;0.762;0;0;0;-0.15
4,4|4,2;0;0;0;0;-0.15
4,4|4,3;1.722432;0;-0.45;-0.288;-0.255
4,4|4,4;0;0;0;0;0
12,17|2,2;0;0;0;0;-0.15
12,17|2,3;1.038;0;0;0;0
12,18|2,4;1.02;0;0;0.6;0
13,18|2,5;0;0;0;0;-0.15
13,18|2,6;0.6;0;0;0;0
13,19|2,7;0;0;0;0;-0.15
13,19|2,8;0;-0.45;0;0;0
13,18|2,9;0;0;-0.45;0.6;0
12,18|2,10;0;0;0;0.6;0
13,18|2,11;1.6818;0;-0.2684196;0.6;0
14,18|1,11;0.6;-0.02523115;-0.432;0.762;-0.07070938
14,19|0,11;0.348126;-0.9549;-0.603;0;0.20478
13,19|0,12;-0.08814001;-0.1338431;-0.29682;0.6;-0.15
13,19|0,13;-0.15;-0.45;-0.45;1.308;-0.15
13,19|1,13;-0.15;-0.45;-0.288;0;-0.255
13,19|1,14;-0.21186;-0.288;-0.45;0;-0.255
13,19|1,16;-0.255;-0.76176;0;1.02;0
14,19|2,16;-0.15;0;0;1.314;0.012
15,19|2,17;-0.15;0;-0.6516;0;-0.15
15,19|3,17;-0.132;-0.13086;0;0;-0.15
15,19|4,17;0;0;-0.07597631;1.02;0.137128
16,19|4,18;0.012;0;0;0.6;-0.15
17,19|5,18;-0.255;0;0;0;-0.1416
17,19|5,19;0;1.02324;-0.45;0.6;0
16,19|6,19;-0.15;0;-0.765;0;0
16,19|7,19;-0.255;0.8754;0;0;0.0219771
16,19|8,19;0;0.5037181;0;1.308327;0.14352
16,19|9,19;-0.15;0;-0.45;1.476;0
17,19|10,19;0.1933512;0.6;-0.603;0.6;0.4605125
17,19|11,19;-0.08473802;0.6356316;-0.45;2.975869;0
17,18|11,18;0.06974668;1.94808;0.1669158;0.600162;-0.15
17,18|12,18;0;-0.03000001;-0.824386;1.182;-0.132
16,18|13,18;-0.03000001;1.170146;0.5650826;2.349764;-0.1194
16,19|14,18;-0.15;-0.1987767;-0.1461156;2.117483;-0.15
8,9|19,14;0;0;0;-0.45;0
9,9|18,14;0;0.6;0;0;0
9,8|18,13;0;-0.15;0.6;0;0
8,8|17,13;0;-0.15;1.02;-0.45;0
9,8|16,13;-0.1746;-0.15;0;0;0
9,8|15,13;0;0;0;-0.288;0.012
9,8|12,13;-0.45;-0.15;1.314;0;0
8,8|12,12;0;-0.255;0;0;-0.15
8,8|11,12;-0.69849;-0.093;0;-0.9855;-0.255
8,9|10,12;-0.25706;1.7028;1.053858;0;0.05574
8,8|10,11;-0.213642;-0.1539;1.02;-0.005279271;0.1873654
8,8|9,11;0;-0.237;1.570803;0.6;0.1254
8,8|8,10;-1.247895;-0.39735;1.033146;3.195376;0
8,8|8,9;-1.13985;-0.3285;-0.07678861;0.6129356;-0.471176
9,8|9,9;-1.323527;-0.37995;0.6090387;0.762;-0.3285
6,15|18,7;0;0;0;-0.45;0
7,15|18,8;0.6;0;0;0;0
7,16|18,9;0;0;0.6;-0.45;0
6,16|18,10;0;0;0;-0.45;0
7,16|18,11;0;0;0.6;0;0
6,16|18,12;0;0;0;0;-0.15
6,16|18,13;0.6;0;0;0;0
6,17|18,14;1.22574;0;0.6;0;0
6,18|17,14;1.582642;0;0;-0.45;0.09977999
6,18|17,15;0.922542;0;1.314;-0.603;0
5,18|16,15;0;0;0;-0.288;-0.15
5,18|15,15;0;0;0;-0.45;0
6,18|14,15;0.6;0;0;0;0
6,19|13,15;0;0;1.038;0;-0.15
6,19|13,16;-0.255;0;0;-0.45;0
6,19|12,16;0;0;0;0;-0.255
6,19|12,18;-0.093;-0.73386;0.762;-0.7181663;-0.15
6,18|11,18;0.4912199;1.476;1.004039;-0.271224;-0.249492
5,19|9,18;0;-0.45;1.37316;0;0.094758
5,18|8,18;1.9086;-0.03000001;0;-0.432;0
5,19|7,18;-0.3105;0;1.5198;-0.166338;0
5,19|6,18;0.09066602;-0.45;0.6;-0.765;0.07339285
6,19|5,19;-0.3285;1.00524;-0.765;3.428645;-0.255
3,19|5,4;0;0;0.6;0;0.012
2,19|4,4;-0.15;-0.45;0;-0.45;-0.15
3,19|4,5;0;-0.288;0;0;-0.15
3,19|3,5;-0.15;0;0;0;0
3,19|3,6;-0.255;0;0;0;0
3,19|3,7;0.1115898;0;0;0;-0.11886
3,19|3,8;0;0;-0.1746;1.35774;-0.15
4,19|3,9;-0.15;-0.603;0;1.038;0
5,19|3,10;-0.15;0;0;1.02;0
6,19|3,11;0.3326322;-0.6955642;-0.5632362;1.970277;-0.36195
6,18|2,11;1.607108;-0.45;-0.01058352;0;-0.11454
5,18|1,11;4.235635;-0.45;0.4048667;1.597917;0.02039999
5,17|0,11;1.229446;-0.4122864;-0.45;0;-0.15
5,17|0,12;0;-0.1746;-0.46818;1.182;-0.15
5,17|0,13;0.6;-0.45;-0.528642;1.37478;0
4,17|0,14;0.8754;-0.9769752;0;0;-0.1926618
4,17|0,15;1.421922;-0.45;-0.2829942;0;0
4,16|1,15;1.18686;0;-0.3290337;0;0.012
4,17|2,15;0;0;-0.45;1.64574;0
3,17|3,15;2.533647;-0.765;0.30302;0;0.199758
3,18|3,16;2.506377;-0.765;1.223301;1.786003;0.1021848
4,18|3,17;1.887829;-0.9855;-0.9855;0;-0.2256955
4,19|4,17;0.3676101;-1.13985;1.023685;0.2976699;0.1471342
4,19|4,18;-0.4588229;-1.247895;-0.44145;0.4922997;-0.37995
4,19|4,19;0;0;0;0;0
4,18|5,14;2.053478;0;0;-0.6307163;0.30393
5,18|5,15;0;-0.4143937;0.6698516;0.3335586;0.01685999
4,18|5,16;0.6306;0;0.7736805;-0.2583071;0.012
5,18|5,17;1.87664;-1.413528;1.604877;1.553884;-0.4411755
14,19|18,12;0;-0.45;0;0;0
14,18|18,13;0;0;0;-0.45;0
15,19|17,14;-0.2979;-0.1345613;2.504244;-0.45;0.6357954
16,19|17,15;0.1158498;-0.6339188;0.8802601;-0.100876;-0.1539
16,19|17,16;0.07342201;-0.01173058;1.22574;0.2920194;0
16,18|15,15;0;0;-0.1746;0;0
14,18|15,17;1.092524;-0.765;2.240281;-1.13985;0.572515
15,6|7,16;0;0.6;0;0;0
15,5|7,15;0;0;-0.15;0;0
15,5|8,15;-0.45;0;0;0;0
15,6|9,15;-0.45;0;0;0;0
15,7|10,15;-0.45;0;0;0;0
15,8|11,15;0;0;-0.15;0;0
15,8|12,15;-0.45;0;0;0;0
15,9|13,15;0;0;0;1.943142;-0.15
16,9|14,15;-0.45;1.182;-0.45;0;-0.15
16,8|15,15;0;1.1514;1.928665;0;0
15,8|16,15;-0.45;1.33914;-0.3134502;-0.4896;-0.15
15,6|17,14;-0.5967;1.559447;0.21318;-0.1821737;-0.2118
15,7|17,13;-0.603;1.02;-0.15;-0.4896;0.012
15,8|17,12;-0.765;1.663758;0;0;-0.15
15,9|17,11;0;0;0;-0.45;-0.1665
16,9|17,10;-0.765;1.353173;0;0;0
16,10|16,10;0;0;0;0;0
18,16|18,11;1.187006;0;0.6;0;0.09698873
17,16|18,12;0.6;0;0.6;0.2137925;0
17,17|18,13;0.8727935;0;0;0;-0.15
17,17|18,14;0;0;0;0.005491864;-0.15
17,17|18,15;1.959137;0;0;-0.2018322;0
17,18|18,16;0;0;1.52862;0.04017691;0
16,18|18,17;0;-0.45;0.6351702;-0.4391415;0
16,17|17,17;0.7212901;0;0;-0.45;-0.15
16,18|17,18;-0.2046175;-0.0174;0.8175499;0;-0.37995
1,18|10,15;0.6;0;0;0;0
1,19|10,16;-0.15;0;0;0;0
1,19|9,16;-0.15;0;0.6;0;0
1,19|8,16;0;-0.45;0;0;-0.15
1,18|7,16;0;0;0;0;-0.15
1,18|7,17;1.314;0;0;-0.288;-0.255
1,19|6,17;-0.15;0;0;-0.55926;0
1,19|5,17;-0.15;-0.45;0;0;0
1,19|4,17;0;-0.29844;1.314;-0.45;-0.15
2,19|3,17;-0.158238;-0.1553816;1.02324;-0.9278372;0.7254845
3,19|3,19;0;0;0;0;0
6,3|15,12;0;0;0.6;0;0
5,3|15,11;0;0.6;0.6;0;-0.15
5,2|15,10;0;0;0;-0.45;-0.15
6,2|15,9;0;0;0;0;-0.1845
6,2|15,8;-0.45;1.983;0;-0.6372414;0.012
7,2|15,7;0.02773248;1.78218;0.6;-0.8150921;-0.15
6,2|15,6;-0.432;1.02;0;-0.45;0
7,2|15,5;-0.747;2.232588;0.6510885;-0.45;-0.132
7,3|15,4;0;1.812436;0.9701996;0;0.2054597
7,2|15,3;1.02;1.846058;0.8577906;-0.83664;-0.237
8,2|15,2;2.056756;0;1.398401;0;-0.1171655
8,3|15,1;0.6;0.08112321;2.330949;-0.3737214;0.9364668
7,3|14,1;1.18686;0;2.682041;-0.1444019;0.5679471
7,4|13,1;0.6;-0.2844661;0.618;-0.28314;0
7,5|12,1;0;-0.45;1.313006;-0.45;0.012
7,4|11,1;0.6;-0.45;1.326018;0;-0.15
6,4|11,2;0;0;1.86393;-0.4896;-0.0804
7,4|10,2;1.182;-0.5842278;2.471292;-0.45;-0.132
6,4|10,3;1.182;-0.03140337;0;-0.45;-0.15
6,5|9,3;0;-0.45;2.096743;-0.1117349;0.4027069
5,5|8,3;1.835186;-0.45;1.118097;0;0
5,4|7,3;0;0;0;-0.7805461;-0.15
5,4|6,3;1.051518;-0.765;0;-0.765;0.1611334
6,2|4,7;0;0.6;0;0;-0.132
6,1|4,6;0;0.6;-0.4896;0;0
5,2|4,4;-0.45;1.02;0.1876463;0.762;-0.255
5,1|4,3;-0.7016809;0.6;0;0;-0.04926
5,1|4,2;0;1.516104;0;0;0.1050039
5,1|4,1;-0.765;-0.45;-0.765;0.6;-0.3285
4,2|4,2;0;0;0;0;0
13,3|13,7;0;0.6;0;-0.15;0
13,2|13,6;0;0;-0.03000001;-0.15;0
12,2|13,5;-0.45;0;0;0;0
11,3|11,5;-0.093;0.6;-0.45;0;0.012
10,3|10,5;-0.15;0.6;-0.45;1.753276;0
10,3|9,5;-0.1215073;1.6113;0;1.038;0.3046917
11,3|8,5;0.0204;0.762;-0.7243974;1.476;0.1914159
11,3|8,3;0.2470532;0.6;-1.056186;3.684457;-0.118482
10,3|9,3;-0.255;0.7716537;-1.247895;3.721258;0
9,3|9,3;0;0;0;0;0
4,17|15,6;0.6;0;0;-0.432;0
4,18|15,7;0.61854;-0.45;1.901225;0;-0.15
3,18|15,8;1.831614;-0.45;0;0;-0.15
3,18|15,9;0.762;-0.45;0.6;0;0
3,17|15,10;0.6;0;0;0;0
3,18|15,11;1.480063;0;0.762;-0.481338;0
4,18|11,13;1.724346;-0.432;0;-0.288;0
4,19|10,13;0;0;1.848657;-0.765;-0.15
4,19|9,13;-0.15;-0.432;0.9711906;-0.765;0
5,19|8,13;-0.09239988;0;0;-0.09522001;0.8927724
5,19|7,13;-0.11886;-0.3900172;2.592817;-0.1320635;0.28254
4,19|6,13;0.1738929;-0.8628109;1.626797;0;0.1892229
4,18|5,13;1.182;-1.247895;0.6;0.04774895;0.327186
4,19|5,14;0;-0.603;0.762;-0.75645;-0.15
5,19|5,15;0.3476833;-0.74646;1.966147;0.6983705;0.3019999
6,19|6,15;0;-0.4715063;0;-0.45;-0.1416
6,18|6,17;1.865416;-1.323527;-0.1308672;-0.45;-0.37995
5,18|6,18;1.288234;1.696332;2.456807;-0.765;-0.255
12,15|17,4;0;0;0;0;-0.15
12,15|17,5;0;0;0;-0.8235;0
13,15|17,6;0;0;0.6;-0.765;-0.15
14,15|17,7;0;0;0.6;0;-0.15
14,15|17,8;0.6;0;0;-0.45;0
14,16|17,9;0;0;1.182;-0.45;0
13,16|17,10;0;-0.42714;0.6;-0.45;0
12,16|17,11;0;0;0;-0.45;-0.15
13,16|17,12;0;-0.45;0;0;-0.15
13,15|17,13;0.6;-0.15;0.762;-0.702864;-0.15
13,15|17,14;0.8754;0.01685999;0;-0.603;-0.15
14,15|17,15;1.300406;-0.132;0;-0.4080443;0.012
14,16|16,15;1.326978;0;0;0;0
14,17|15,15;0.7668601;-0.45;0.949758;-0.45;0
15,17|15,16;1.728467;-0.45;-0.2412305;1.021381;-0.255
14,17|14,16;0;-0.765;1.486324;0.308985;-0.255
14,17|14,17;0;0;0;0;0
18,0|12,16;-0.45;0;-0.45;0;0
17,0|12,15;-0.45;0;-0.45;0.6;0
17,1|13,15;-0.45;0;0;0;-0.15
17,2|14,15;0;0.6;-0.765;0;-0.15
16,2|15,15;-0.45;0;0;0;0.012
16,3|16,15;-0.45;0;0;0;0
16,4|17,15;-0.9549;0;1.038;0;0.1150758
16,5|17,14;-0.9239039;1.550358;0.6;-0.45;0.012
16,6|17,13;-0.288;1.700634;0;0;-0.05881594
16,5|17,12;-0.45;1.37478;0.6;-0.432;-0.15
16,4|16,12;-0.765;1.663758;0;0;-0.15
16,5|16,11;-0.765;0;0;0.762;-0.15
16,6|16,10;0.1404355;0;-0.213642;1.02;-0.15
16,6|16,9;-0.45;0.618;1.68742;-0.45;-0.11058
17,6|17,9;0;1.673402;0.6;0.6;0.1254
16,6|17,8;-0.2829942;0.6785245;0;0;-0.1416
12,19|10,5;0;0;0;0;-0.15
12,19|11,5;-0.15;0;0;0;0
12,19|12,5;0;0;0.6;0;0
11,19|12,6;-0.15;-0.45;0;-0.45;0
11,18|12,7;0;-0.4896;1.782345;0;-0.15
10,18|12,8;1.02036;-0.8235;0.6;0;-0.2424
10,19|12,9;0.012;-0.45;0;0;-0.132
10,18|11,9;0;-0.45;0;0;0
10,17|10,9;0.6;0;0;0;0
10,18|9,9;0.6;0;0;0;0.132321
10,18|8,9;0;0;-0.45;2.133679;0
9,18|8,10;1.0506;-0.432;-0.600732;1.1946;0
7,19|6,13;1.445494;0;-0.5002984;1.0506;0.9846802
9,19|7,19;0.7481822;0;-0.45;3.893855;0.3048424
9,19|8,19;-0.4588228;0;-1.376469;3.892776;-0.37995
9,19|9,19;0;0;0;0;0
2,6|4,8;0;0;0.6;0;0
1,6|3,8;0;0.6;0;0;0
1,5|3,7;0;0.6;0;0;0
1,4|3,6;-0.1470706;0;0;0;0
1,4|3,4;0;0.7038847;1.272373;-0.9855;0.1254
2,4|2,4;0;0;0;0;0
0,11|2,4;0;-0.45;0;-0.45;0
0,10|2,5;0;0;0.0254058;0;0
0,10|2,6;1.69844;-0.09036;-0.15;-0.45;0.02628
0,11|1,6;0;0;-0.15;-0.45;0.06414001
0,11|1,7;1.544541;-0.04666376;0;0;-0.15
0,12|1,8;1.942746;-0.2173587;0.3602674;0.211922;0.2848565
0,12|1,10;1.25976;-0.3550297;0.4602878;0.4876498;-0.15
0,12|0,10;1.073316;-0.45;0.4576788;0;0
0,12|0,11;3.889957;-1.13985;-0.15;-0.15;-0.415965
5,3|17,1;0;0;0;0;-0.15
5,3|16,1;0;0;0;-0.45;0
6,3|15,1;2.251092;0.01008633;0;0;-0.158755
6,2|14,1;2.87069;0;1.48818;-0.3044491;0.2673074
6,3|13,1;2.141259;-0.97785;0.6;-0.5820138;0.07002001
6,2|12,1;1.33914;-0.45;1.56756;-0.45;-0.255
6,2|11,1;0.61854;-0.45;2.165188;-0.3484818;0
6,1|10,1;1.314;0.5394;1.78218;-0.45;0
6,0|9,1;0.1861367;0;0;0;-0.15
6,0|8,1;-0.432;0;0;-0.288;0
8,0|8,0;0;0;0;0;0
15,16|10,6;0;0;0;0;-0.15
15,16|11,6;0;0;0;0;-0.15
15,16|12,6;0.6;0;0;0;0
15,17|12,7;0.6;0;-0.45;0;0
14,17|12,8;0.6;-0.1295478;0;0;0
14,18|12,9;0;0;0;0.6;0
15,18|11,9;0;0;-0.747;0;0.1254
14,18|10,9;0.6;-0.288;-0.45;0.6;-0.15
15,18|9,9;0.6;-0.45;0;0;0
15,17|8,9;0;-0.288;-0.288;0;-0.15
15,17|8,10;0.618;0;-0.45;0;0
14,17|8,11;0;-0.45;-0.45;0;0
14,16|8,12;0.6;0;0;0;0
14,17|9,12;0;0;-0.45;0;-0.15
14,17|10,12;0;0;0;0;-0.15
14,17|10,13;0;-0.747;0;0;0
14,16|11,13;0.6;-0.603;0;0.6;-0.15
14,17|12,13;0;0;-0.45;0.6;0
15,17|13,13;0;0;-0.45;0;0
14,17|14,13;0.6;0;0;-0.45;0
14,18|15,13;1.199923;0.1520792;0;-0.45;0
16,18|17,14;2.423785;-0.2794901;1.2954;-0.4325579;-0.07698001
16,17|16,16;1.187845;-0.9855;1.038293;1.079319;-0.37995
10,11|12,7;0;0;0;0;-0.15
10,11|12,8;0;0;0;-0.4845942;0
11,11|12,9;0.762;-0.15;0.6;1.03854;-0.15
11,11|11,9;0.762;0;-0.603;0;-0.15
11,11|10,9;0;0.143478;0;1.48086;0
12,11|9,9;0.618;0.012;-0.45;0;-0.093
12,11|8,9;0.6;-0.15;-0.45;1.314;0
12,12|8,10;0.6;0;-0.765;0;0.21318
11,12|8,11;0.6;-0.3782779;0;0;0.07002002
11,11|9,12;-0.4953214;-0.15;-0.747;0;0
12,11|0,11;-0.288;0;0;1.314;-0.237
12,11|0,12;-0.45;-0.093;0;1.314;0
13,11|0,13;-0.45;-0.15;-0.8235;0;-0.3285
12,11|1,13;-0.45;-0.15;0;0.9795001;-0.255
12,11|2,13;-0.45;-0.255;-0.45;0;-0.15
12,11|3,13;0;-0.294642;-0.45;0.6;-0.15
12,11|4,13;0;-0.093;-0.9621834;0;0.21318
11,11|5,13;-0.314442;-0.15;-0.45;0;0.1468086
11,11|6,13;-0.621;0.012;-0.45;2.052072;-0.15
11,12|7,12;0.6;0;0;0.6;0
11,13|8,12;0;0;0;1.562538;0.2154388
7,8|11,6;0;0.21318;-0.15;0;0
7,8|12,6;1.569214;-0.15;0;-0.2795253;0
7,10|11,8;0;-0.603;0;0;0.7483804
7,10|11,9;1.5198;-0.45;0.02466029;0;0
7,11|10,9;1.1946;-0.7050942;-0.27594;0;0
7,11|9,9;1.563;-0.100242;-0.15;-0.3947846;0.02866201
7,12|8,9;1.02;0;-0.15;-0.45;0.012
8,12|8,10;1.304276;-0.45;0;0.762;0.2773675
8,12|8,11;1.1525;-1.13985;-0.2028283;0.1638454;-0.255
8,13|8,12;-0.37995;-0.45;1.562447;0.9785706;-0.255
2,5|6,2;0.6;-0.45;0;0;0
2,4|6,3;0.7668601;-0.45;0;0;-0.15
2,3|5,3;-0.3734696;0.6;1.68138;0.2267752;0.6360774
1,3|4,3;0.8057401;0;2.409351;-0.1223159;0
0,3|2,3;0.881256;0.2323349;-0.322635;-0.45;-0.4434795
1,3|1,3;0;0;0;0;0
2,15|4,11;0.8057401;-0.45;0;0;0
2,14|3,11;0.836358;0;0.6;0;0
1,14|2,11;0;-0.28314;0;0.6;0
2,14|1,11;2.63616;-0.166338;-0.04536407;2.305262;-0.0370959
2,16|1,13;0.6;-0.59814;-0.45;0.8057401;0
1,16|1,14;2.404074;-1.247895;0.6792578;0.4387851;0
3,9|6,1;0;0;0;-0.48474;0
4,9|6,2;1.602;0;0.6;-0.45;0
4,10|6,3;1.314;-0.747;0;-0.45;0
4,11|5,3;0;-0.45;1.796075;0;0
4,10|5,4;0.6;0;0;0;-0.255
4,10|5,5;0.6;-0.45;0;0.02308463;-0.093
4,10|4,5;0.6;-0.45;0;0.762;0
4,9|4,6;0.6;0;0.8094423;0.5604;0
5,9|5,7;2.242917;-0.765;0.4649401;0.950456;0.44688
5,9|5,8;2.300499;-1.247895;0.9331286;-0.4588228;-0.37995
6,2|9,12;-0.28314;0.6;0;0;0
6,1|9,11;0;0;0.6;-0.45;0
7,1|8,11;-0.45;0.6;0.6;0;0
7,0|8,10;-0.45;0;0;-0.45;0
8,0|8,9;-0.4896;0.0204;0;0;-0.15
8,0|8,8;-0.45;0;1.02;0;0
7,0|9,8;-0.45;-0.15;0;-0.45;-0.15
7,0|10,8;0;-0.15;0;-0.45;0
8,0|11,8;0;0;0;-0.45;-0.15
8,0|12,8;-0.45;0;0.6;-0.127458;0.311028
8,1|12,7;-0.1216309;0.6;0.8754;-0.45;-0.15
8,0|12,6;0;-0.15;1.02;-0.45;-0.15
7,0|12,5;-0.45;0;1.02;0;0
6,0|11,5;-0.45;-0.15;0;0;0
6,1|10,5;0;0.6;0;-0.45;-0.132
7,1|9,5;-0.45;0;1.602;-0.7344;0
8,1|8,5;-0.24426;2.14674;-0.03000001;1.02;0.07349438
9,1|8,4;-0.603;0.6;-0.63072;0;0
9,2|8,3;-0.765;1.48818;-0.765;2.048481;0.2340038
10,2|9,3;0;1.699398;-0.765;0;-0.1188362
10,1|9,2;-0.45;1.02;0;1.182;-0.15
10,2|10,2;0;0;0;0;0
0,15|4,17;0;0;-0.15;-0.45;-0.15
0,15|4,16;-0.45;0;-0.06687011;-0.6859245;-0.15
0,16|3,16;0.23406;0.6;0.012;0;-0.15
0,16|2,16;-0.45;-0.1853867;-0.049999;-0.765;-0.244508
1,16|1,16;0;0;0;0;0
12,13|4,2;-0.15;0;0;0;0
12,13|4,3;0;0;0;0.6;0
13,13|5,3;-0.15;0;0;0;0
13,13|6,3;0;-0.45;0;0;0
13,12|7,3;0;0;0;0;-0.15
13,12|7,4;0.6;0;0;0;0
13,13|8,4;0;0;0;0;-0.15
13,13|8,5;0;-0.45;0;0;0
13,12|9,5;0.6;0;0;0;0
13,13|9,6;0;-0.45;-0.45;0;0
13,12|10,6;0;0;-0.45;0;0
12,12|11,6;1.02;-0.1336956;0;0;-0.15
12,13|12,6;-0.15;-0.81864;0.6;0;0.0204
12,13|12,7;-0.15;0;0.6;0;-0.10455
12,13|12,8;-0.37995;0;0;0.6;-0.3285
12,13|12,9;-0.255;-0.8235;-0.97785;0.6;-0.255
11,13|11,9;-0.1263663;-0.432;-0.16974;1.182;-0.255
11,13|10,9;0.02628;-0.7465968;-0.45;1.0506;-0.15
11,13|9,9;0.04181999;-0.765;-0.442458;1.314;-0.1194
11,12|8,9;1.98798;-0.1627859;0;0;0.06029999
11,12|8,10;1.904892;0;-0.29682;0.6;-0.3094182
11,13|8,11;0;-0.288;-1.216755;2.76659;-0.09183153
9,13|9,12;0;-0.45;2.593407;1.036286;0
3,2|0,6;0;0;-0.45;0;0
2,2|1,6;-0.603;0.8057401;-0.106449;0.6;0
2,3|2,6;-0.2073577;1.002061;1.390069;0.6;0
2,4|2,5;-1.323527;1.695299;-0.45;0.06450004;-0.37995
3,4|3,5;-0.9855;2.179364;0.07925578;-0.1489986;-0.15
1,4|1,5;-1.13985;1.1946;0;-0.6427662;-0.255
1,5|1,5;0;0;0;0;0
15,11|10,6;0;-0.45;0;0;0
15,10|11,6;0;0;0;0.6;0
16,10|12,6;0;-0.45;0;0;0
16,9|12,7;0.6;0;0;0;0
16,10|12,8;0;0;0;0.6;0
17,10|12,9;0;0;0;0.6;0
18,10|11,9;0;-0.45;-0.45;0.6;0
18,9|10,9;0;0;0;0.6;0
19,9|9,9;0.762;1.182;0;0;0
18,10|8,10;0;0.6;0;0.6;-0.15
18,9|8,11;0;0;-0.45;0;0
17,9|9,11;-0.45;0.762;-0.45;0;0
17,10|10,11;-0.45;0.6;0;0;0
17,11|11,11;0.762;0;0;1.182;0
18,11|12,11;0;1.182;0;0;0
18,10|13,11;-0.45;0;0;0.6;-0.15
19,9|13,13;-0.9855;0.6;-0.288;-0.15;-0.15
19,10|14,13;-0.5017791;0.6;-0.009036032;-0.1132438;0
19,10|18,13;0;1.45254;-0.3705959;-0.15;0
