State;Up;Down;Left;Right;Stay
17,12|15,5;0;-0.45;0;0;-0.15
17,11|16,5;0;-0.45;-0.6994566;0;0.01685999
17,10|17,5;1.852739;-0.44586;0.922542;0.6;0
18,10|17,6;1.75115;-0.45;-0.288;0;-0.11508
18,9|18,6;1.099555;-0.426015;0;1.694505;0.2984406
19,9|18,7;1.319684;-0.45;-0.45;0.1991486;0.213042
18,9|18,8;1.56756;-1.13985;-0.0788094;-0.45;-0.15
19,9|19,8;2.688203;0;0;-0.15;-0.37995
19,10|19,9;2.970509;-1.13985;0.4027362;-0.15;0
19,11|19,10;3.819364;-0.765;0.6917731;-0.255;-0.3285
19,11|19,11;0;0;0;0;0
10,8|0,8;0;0;0;0.6;0
11,8|1,8;0.6;0;0;0;0
11,9|2,8;0;-0.45;0;0;0
11,8|3,8;0.6;0;-0.45;0;0
10,8|4,8;0;0;0;0.6;-0.15
11,8|5,8;1.02;0;0;0;-0.15
11,9|5,7;0;0;-0.9855;0;0
10,9|5,6;0;-0.288;-0.45;1.02;-0.237
10,9|6,6;0;-0.45;0;1.02;0
11,9|7,6;-0.05919901;-0.45;-0.43146;0;0
11,8|8,6;0.6;0.6838208;-0.45;0;-0.15
10,8|9,6;1.319508;0;0.6;0.6;0.07159939
11,8|10,6;0.6;0;2.014997;0;0.05574
10,8|11,6;1.332;0;1.642948;-0.6975;-0.15
10,9|12,6;-0.15;-0.3631914;2.099703;0;-0.15
10,9|12,7;0.3242185;-0.7373322;0.762;0;0.5041608
10,9|12,8;0.012;-0.1295752;2.188993;-0.931635;0.0204
9,9|11,8;0;-0.8109;1.182;-0.323683;0
9,8|10,8;0.129372;-0.255;2.220124;-0.765;0
9,9|9,8;-0.15;-0.45;-0.127458;1.321473;0
9,8|9,8;0;0;0;0;-0.15
10,17|11,5;0;0;0.6;0;0
9,17|11,6;0.6;-0.24426;0;0;0
9,18|12,6;1.02;-0.45;0;0;-0.093
9,19|12,7;-0.15;-0.8235;0;-0.45;0
9,18|12,8;0.6;0;0;-0.603;0
10,18|12,9;0;-0.45;1.192789;0;0
9,18|11,9;0.63996;-0.45;0;0;-0.15
9,18|10,9;1.182;0;0;0.762;0
9,19|9,9;0;-0.45;-0.45;1.182;0
10,19|8,9;-0.15;-0.45;-0.951642;0.6;0
10,18|8,10;0.6;0;-0.45;0.762;0
9,18|8,11;0;-0.45;-0.45;1.256358;0
8,18|8,12;1.314;0;-0.45;0.61854;0
8,19|8,13;0.02039999;-0.765;-0.3672268;1.010346;-0.2979
8,19|7,13;-0.255;-0.9855;0;1.314;-0.2364281
8,19|6,13;-0.15;-0.59814;-0.5349926;2.214383;-0.237
8,19|5,13;-0.3105;-0.5261427;0;0.6;0.2953704
8,19|5,14;-0.15;0.2961065;0.0792126;2.197993;0.3593043
8,19|5,15;0.13026;-0.3396835;-0.570294;2.316928;0.4244731
9,19|6,15;-0.237;-0.68243;-0.765;0;0.409572
9,19|6,16;0.1958584;-0.5774235;-0.14052;1.767968;0.02039999
9,19|6,17;-0.132;-0.45;-0.1092296;1.922801;0.4658294
10,19|7,17;-0.0804;-0.5157976;-0.5915678;1.04435;0.127322
10,18|7,18;0.1140181;0;0.06766044;2.714984;0.2946454
11,18|8,18;1.064118;1.638698;-0.2649505;2.7215;0.2685384
10,18|9,18;1.598957;0.6279402;-0.765;3.473963;-0.37995
11,18|10,18;1.932015;1.21843;-0.765;2.348483;-0.37995
11,19|11,18;-0.471176;-1.323527;1.445717;1.431931;-0.255
12,19|12,18;-0.37995;-0.765;1.680159;1.540387;-0.37995
12,19|12,19;0;0;0;0;0
2,6|15,0;0;0;0.6;0;0
1,6|14,0;0;0;0;-0.45;0
2,6|14,1;1.4886;0;0.7704079;0;-0.15
2,7|13,1;0;-0.765;0.6;-0.765;0
2,6|12,1;0;-0.432;0;0;-0.15
2,6|11,1;0;-0.1746;1.02;0;0
1,6|10,1;0;-0.747;0;0;-0.15
1,5|9,1;0.6;-0.45;0.6;-0.45;0
2,5|8,1;1.35095;-0.288;0.6;0;-0.15
1,5|7,1;0;0;0;0;-0.255
1,5|7,2;0;0;1.02;0;0
0,5|6,2;0.762;-0.45;-0.15;0;0
0,4|6,3;0.6;0;-0.15;-0.45;-0.093
1,4|5,3;1.62311;-0.1746;1.37478;0;0
0,4|4,3;1.314;-0.9209738;-0.15;-0.45;0.2571426
0,3|3,3;1.624164;0.762;-0.15;-0.03556181;0.3914088
0,4|3,4;0.8172008;-0.3264759;-0.14676;-0.29682;-0.1259898
0,5|3,5;2.049065;0.6096;0.244344;-0.41886;0
0,4|2,5;0;1.5198;0;0;0
0,3|2,4;-0.45;0.762;-0.15;-0.432;0
0,4|1,4;0.5247815;-0.2017605;-0.37995;-1.376469;-0.255
0,5|0,4;1.288495;-0.45;-0.15;0;0
0,4|0,4;-0.45;0;0;0;0
15,1|15,9;-0.765;1.02;1.87458;-0.6359994;0
16,1|16,9;-0.45;0;0.47778;0.762;-0.1665
16,2|16,8;-0.5811966;2.85603;0;0;0.13026
16,3|16,7;-0.1895633;1.49742;0;1.02;0.012
16,4|16,6;-1.13985;2.611748;0;1.180492;0.4405374
16,4|16,5;0;2.576064;-0.2763103;1.504786;-0.3285
16,3|16,4;-0.45;1.536282;0;1.389987;-0.15
17,3|17,4;-0.45;2.767616;1.747852;1.325949;-0.4588229
16,3|17,3;0.1106502;1.981485;0;-0.45;-0.15
16,2|16,3;-0.765;2.276446;1.089709;0.618;-0.3285
16,2|16,2;0;0;0;0;0
13,12|1,14;0;0;0;0.1254;-0.15
13,12|2,14;0;0;0;0;-0.15
13,12|2,13;-0.45;0;-0.603;0.11238;0.1254
13,13|3,13;0;0.6;-0.45;0.6;-0.15
12,13|4,13;-0.2204367;0.6;0;0;0
12,13|5,13;0;1.746759;0;2.323194;0.06414001
12,12|6,13;-0.288;0.6;0;2.691698;0
13,12|7,13;0.2831955;1.66386;-0.59229;-0.15;0
13,11|8,13;-0.77976;-0.255;-0.671006;0;-0.15
13,12|9,13;-0.3276241;0;-0.29682;-0.132;0
13,13|10,13;-0.132;0.5675399;-0.536274;2.026606;-0.15
13,12|11,13;-0.2062414;1.314;0;-0.15;0
13,12|12,13;0;1.2735;0;0;0
13,11|13,13;-0.765;-0.436725;0.8754;-0.5485332;-0.5307315
13,11|13,12;-0.9855;-0.4588229;-0.453;-0.37995;-0.415965
13,11|13,11;0;0;0;0;0
8,15|4,1;0;0;0;0.6;0
9,15|4,2;0.6;0;0;0;0
9,16|4,3;0.6;0;0;0;0
9,17|4,4;0;0;-0.45;0;-0.15
9,17|4,5;0;0;-0.45;0;0
8,17|4,6;0.6;0;0;0.6;0
9,17|4,7;0;0;-0.45;0;0
8,17|4,8;0.6;0;-0.45;0;0
7,17|4,9;1.02;-0.45;0;0;0
7,18|4,10;0;0;-0.4445478;0;-0.15
7,18|4,11;0.95478;0;-0.45;1.602;0
8,18|3,11;1.02;0;-0.45;0;-0.008144394
7,18|2,11;1.02;0;-0.45;0.8591028;0.03071258
6,18|1,11;2.935304;-0.7344;0;0;0
6,19|0,11;1.031559;-0.2067928;-0.765;2.898542;1.131876
6,19|0,12;-0.15;0.1871125;-0.3410359;3.099767;-0.1284853
7,19|0,13;-0.238971;-0.5725294;-0.900936;1.829088;-0.2665755
7,19|0,14;-0.15;-0.603;-0.8386081;0.762;0
6,19|1,14;0;-0.09522001;-0.9855;1.476;0
7,19|1,15;-0.15;0;-0.45;1.48818;-0.255
7,19|1,16;-0.15;-0.969282;-0.2829942;0.762;-0.15
7,19|2,16;-0.15;-0.288;-0.45;0;-0.15
7,19|3,16;0;-0.6010254;-0.288;0.6;0
8,19|4,16;0.13026;-0.4896;-0.04099022;0;0.012
8,18|4,17;1.182;-0.69264;0;1.182;0
